Date,Open,High,Low,Close,Volume,등락률,Adj Close
2023-03-06,545000,547000,533000,547000,418951,1.6728624535315983,547000
2023-03-07,548000,570000,543000,566000,834010,3.473491773308958,566000
2023-03-08,559000,569000,551000,562000,374233,-0.7067137809187279,562000
2023-03-09,564000,569000,545000,549000,411910,-2.3131672597864767,549000
2023-03-10,537000,553000,534000,551000,270554,0.36429872495446264,551000
2023-03-13,554000,565000,549000,563000,365145,2.1778584392014517,563000
2023-03-14,560000,561000,545000,548000,306944,-2.664298401420959,548000
2023-03-15,551000,573000,549000,565000,455274,3.102189781021898,565000
2023-03-16,561000,578000,558000,576000,499942,1.9469026548672566,576000
2023-03-17,579000,579000,550000,553000,461982,-3.9930555555555554,553000
2023-03-20,546000,551000,537000,544000,229510,-1.62748643761302,544000
2023-03-21,549000,559000,545000,546000,186781,0.3676470588235294,546000
2023-03-22,557000,577000,555000,573000,534061,4.945054945054945,573000
2023-03-23,568000,580000,566000,575000,457612,0.34904013961605584,575000
2023-03-24,577000,578000,556000,569000,317648,-1.0434782608695654,569000
2023-03-27,588000,594000,572000,574000,553025,0.8787346221441126,574000
2023-03-28,578000,579000,566000,577000,264318,0.5226480836236934,577000
2023-03-29,578000,585000,577000,583000,368772,1.0398613518197575,583000
2023-03-30,587000,590000,576000,588000,334990,0.8576329331046313,588000
2023-03-31,582000,590000,571000,584000,298469,-0.6802721088435374,584000
2023-04-03,588000,590000,577000,586000,330892,0.3424657534246575,586000
2023-04-04,586000,598000,572000,575000,444861,-1.877133105802048,575000
2023-04-05,575000,589000,574000,588000,235578,2.2608695652173916,588000
2023-04-06,587000,590000,578000,580000,278416,-1.3605442176870748,580000
2023-04-07,581000,590000,579000,580000,366225,0.0,580000
2023-04-10,587000,598000,584000,596000,597900,2.7586206896551726,596000
2023-04-11,600000,613000,596000,610000,811886,2.348993288590604,610000
2023-04-12,608000,610000,588000,590000,541299,-3.278688524590164,590000
2023-04-13,581000,599000,575000,599000,386450,1.5254237288135595,599000
2023-04-14,603000,604000,586000,594000,339843,-0.8347245409015025,594000
2023-04-17,588000,593000,584000,591000,276643,-0.5050505050505051,591000
2023-04-18,593000,598000,586000,592000,247157,0.1692047377326565,592000
2023-04-19,593000,593000,581000,582000,300756,-1.6891891891891893,582000
2023-04-20,582000,586000,575000,580000,247483,-0.3436426116838488,580000
2023-04-21,577000,578000,563000,572000,267430,-1.3793103448275863,572000
2023-04-24,566000,575000,563000,566000,189996,-1.048951048951049,566000
2023-04-25,570000,575000,548000,551000,328253,-2.65017667844523,551000
2023-04-26,551000,572000,550000,567000,296105,2.9038112522686026,567000
2023-04-27,573000,588000,567000,587000,463287,3.527336860670194,587000
2023-04-28,590000,591000,573000,581000,316880,-1.0221465076660987,581000
2023-05-02,580000,592000,579000,591000,273527,1.7211703958691909,591000
2023-05-03,587000,587000,566000,567000,243943,-4.060913705583756,567000
2023-05-04,563000,571000,560000,564000,244181,-0.5291005291005291,564000
2023-05-08,565000,572000,558000,558000,202092,-1.0638297872340425,558000
2023-05-09,558000,567000,550000,563000,169554,0.8960573476702508,563000
2023-05-10,561000,570000,559000,566000,144538,0.5328596802841918,566000
2023-05-11,568000,572000,550000,553000,290645,-2.2968197879858656,553000
2023-05-12,547000,549000,542000,547000,184132,-1.0849909584086799,547000
2023-05-15,542000,546000,530000,545000,211398,-0.3656307129798903,545000
2023-05-16,549000,552000,538000,540000,178059,-0.9174311926605505,540000
2023-05-17,538000,560000,534000,560000,185024,3.7037037037037033,560000
2023-05-18,563000,564000,555000,562000,144616,0.35714285714285715,562000
2023-05-19,560000,561000,552000,552000,156070,-1.7793594306049825,552000
2023-05-22,553000,562000,547000,560000,154752,1.4492753623188406,560000
2023-05-23,564000,579000,563000,574000,243135,2.5,574000
2023-05-24,574000,585000,572000,585000,257248,1.9163763066202089,585000
2023-05-25,579000,591000,576000,583000,199907,-0.3418803418803419,583000
2023-05-26,580000,583000,575000,578000,113909,-0.8576329331046313,578000
2023-05-30,583000,586000,575000,580000,175179,0.34602076124567477,580000
2023-05-31,581000,604000,581000,599000,610868,3.2758620689655173,599000
2023-06-01,595000,597000,584000,584000,204800,-2.5041736227045077,584000
2023-06-02,588000,591000,586000,588000,155137,0.684931506849315,588000
2023-06-05,590000,595000,587000,594000,198113,1.0204081632653061,594000
2023-06-07,597000,605000,597000,604000,498286,1.6835016835016834,604000
2023-06-08,601000,602000,588000,591000,286608,-2.152317880794702,591000
2023-06-09,597000,610000,597000,609000,449434,3.0456852791878175,609000
2023-06-12,614000,614000,603000,612000,231274,0.49261083743842365,612000
2023-06-13,612000,613000,604000,607000,194004,-0.8169934640522877,607000
2023-06-14,610000,614000,588000,589000,300834,-2.9654036243822075,589000
2023-06-15,594000,600000,581000,585000,340106,-0.6791171477079796,585000
2023-06-16,591000,592000,582000,588000,271773,0.5128205128205128,588000
2023-06-19,579000,580000,558000,561000,900555,-4.591836734693878,561000
2023-06-20,561000,568000,555000,561000,337706,0.0,561000
2023-06-21,563000,565000,556000,558000,267829,-0.53475935828877,558000
2023-06-22,556000,575000,556000,569000,319585,1.971326164874552,569000
2023-06-23,570000,574000,561000,563000,176724,-1.054481546572935,563000
2023-06-26,562000,567000,559000,564000,136695,0.17761989342806395,564000
2023-06-27,561000,562000,556000,561000,214674,-0.5319148936170213,561000
2023-06-28,561000,566000,545000,547000,300378,-2.4955436720142603,547000
